cell,configuration,mois,date_rebalance,portfolio,ticker,weight,recommendation,predicted_return,conviction_score,score_opt,liquidity_vmq_20j,L_sigmoid,held,sell_mode,eligible_vmq,n_candidates,n_positions,expected_alpha_raw,cvar_95,liquidity_L_weighted,status,portfolio_ret_month,turnover,liquidite_ponderee,n_titres,ret_holding,contribution,eligible,min_vmq_threshold,protocol_window
1,C1 Ridge,2024-03,2024-03-29,P_selected,ATW,0.001286334367626252,NEUTRAL,-0.0069868833081520795,-0.0069868833081520795,-0.0034934416540760398,12538974.315000001,1.0,1,exclude,1,34,27,0.422853,0.009331,1.0,ok,0.07208424579743333,1.2640852289065245,0.9998821240652821,27,-0.012404016538688611,-1.5955712770319585e-05,1,500000.0,2023-01_2025-06
1,C1 Ridge,2024-03,2024-03-29,P_selected,ADH,0.0008223862960364511,BUY,0.41645398094842573,0.41645398094842573,0.41645398094842573,24778300.532,1.0,1,exclude,1,34,27,0.422853,0.009331,1.0,ok,0.07208424579743333,1.2640852289065245,0.9998821240652821,27,0.5728155339805823,0.00047107564530243296,1,500000.0,2023-01_2025-06
1,C1 Ridge,2024-03,2024-03-29,P_selected,SNP,0.0006140345705431576,BUY,0.45190141342810514,0.45190141342810514,0.45190141342810514,2061066.1149999998,0.9999999999997398,1,exclude,1,34,27,0.422853,0.009331,1.0,ok,0.07208424579743333,1.2640852289065245,0.9998821240652821,27,0.04162162162162164,2.5557114557742245e-05,1,500000.0,2023-01_2025-06
1,C1 Ridge,2024-03,2024-03-29,P_selected,RIS,0.0005459327886892774,BUY,0.34949276609470376,0.34949276609470376,0.34949276609470376,3785209.81,1.0,1,exclude,1,34,27,0.422853,0.009331,1.0,ok,0.07208424579743333,1.2640852289065245,0.9998821240652821,27,0.07880547490667777,4.302249267978547e-05,1,500000.0,2023-01_2025-06
1,C1 Ridge,2024-03,2024-03-29,P_selected,SID,0.00044010322398780303,BUY,0.419991519922909,0.419991519922909,0.419991519922909,2181045.175,0.9999999999999618,1,exclude,1,34,27,0.422853,0.009331,1.0,ok,0.07208424579743333,1.2640852289065245,0.9998821240652821,27,0.14054054054054044,6.185234499288038e-05,1,500000.0,2023-01_2025-06
1,C1 Ridge,2024-03,2024-03-29,P_selected,ATH,0.00033426634760514205,BUY,0.20717505575797734,0.20717505575797734,0.20717505575797734,1238156.2339999997,0.9999998639848936,1,exclude,1,34,27,0.422853,0.009331,1.0,ok,0.07208424579743333,1.2640852289065245,0.9998821240652821,27,0.1890624999999999,6.319723134409714e-05,1,500000.0,2023-01_2025-06
1,C1 Ridge,2024-03,2024-03-29,P_selected,IAM,0.0003067106447706289,NEUTRAL,-0.030622842271363936,-0.030622842271363936,-0.015311421135681968,7433794.630000001,1.0,1,exclude,1,34,27,0.422853,0.009331,1.0,ok,0.07208424579743333,1.2640852289065245,0.9998821240652821,27,-0.04410307234886024,-1.352688175648462e-05,1,500000.0,2023-01_2025-06
1,C1 Ridge,2024-03,2024-03-29,P_selected,TQM,0.000252557086896533,NEUTRAL,0.01200699693446635,0.01200699693446635,0.006003498467233175,1267530.4,0.9999999149891111,1,exclude,1,34,27,0.422853,0.009331,1.0,ok,0.07208424579743333,1.2640852289065245,0.9998821240652821,27,-0.07209136331192001,-1.820718470845811e-05,1,500000.0,2023-01_2025-06
1,C1 Ridge,2024-03,2024-03-29,P_selected,ATL,0.00021626259565010422,NEUTRAL,0.022571536800470117,0.022571536800470117,0.011285768400235058,2370839.145,0.9999999999999982,1,exclude,1,34,27,0.422853,0.009331,1.0,ok,0.07208424579743333,1.2640852289065245,0.9998821240652821,27,0.16129032258064524,3.4881063814532956e-05,1,500000.0,2023-01_2025-06
1,C1 Ridge,2024-03,2024-03-29,P_selected,CIH,0.0001335706491909625,BUY,0.20137517935208823,0.20137517935208823,0.20137517935208823,3307958.6450000005,1.0,1,exclude,1,34,27,0.422853,0.009331,1.0,ok,0.07208424579743333,1.2640852289065245,0.9998821240652821,27,0.025710419485791558,3.4341574216891508e-06,1,500000.0,2023-01_2025-06
