month,decision_date,holding_end_date,holding_period,gross_return,transaction_cost,net_return,turnover,portfolio_alpha,portfolio_cvar,portfolio_liquidity,n_positions,n_days,n_SELL,sum_weights
2023-06,2023-06-28,2023-07-31,(after 2023-06-28] → 2023-07-31,0.07431435923405516,0.003896745889473992,0.07016678026565826,1.2989152964913306,0.77023,0.010105,0.9999,21,20,0,0.9999999999999998
2023-07,2023-07-31,2023-08-31,(after 2023-07-31] → 2023-08-31,0.016035145986352584,0.0026930058004434156,0.01330887696911276,0.897668600147805,1.051702,0.010636,0.9993,31,20,0,0.9999999999999998
2023-08,2023-08-31,2023-09-27,(after 2023-08-31] → 2023-09-27,0.08264474815918765,0.002144328194942239,0.08033193648837722,0.7147760649807461,1.313262,0.011376,0.9998,27,18,0,1.0000000000000002
2023-09,2023-09-27,2023-10-31,(after 2023-09-27] → 2023-10-31,0.036651347447508975,0.001719271057215916,0.03486962197642618,0.5730903524053053,1.041534,0.010911,1.0,26,22,0,0.9999999999999999
2023-10,2023-10-31,2023-11-30,(after 2023-10-31] → 2023-11-30,-0.026484033727872336,0.0013363939154337316,-0.027794656262843165,0.44546463847791046,0.875348,0.011766,1.0,24,20,0,1.0000000000000002
2023-11,2023-11-30,2023-12-29,(after 2023-11-30] → 2023-12-29,0.026375118982258083,0.0012574675125260162,0.02508516756776613,0.4191558375086721,1.035855,0.011588,0.9999,22,20,0,0.9999999999999997
2023-12,2023-12-29,2024-01-31,(after 2023-12-29] → 2024-01-31,0.08494489725664289,0.0022897016169244155,0.08247321785749895,0.7632338723081386,0.931668,0.01051,1.0,30,21,0,1.0
2024-01,2024-01-31,2024-02-29,(after 2024-01-31] → 2024-02-29,0.08576667659882253,0.002247588260329021,0.08332082105490835,0.7491960867763401,1.00601,0.011593,1.0,25,20,0,1.0000000000000002
2024-02,2024-02-29,2024-03-29,(after 2024-02-29] → 2024-03-29,0.04254153853962128,0.0019085637374054321,0.04054858324077859,0.6361879124684775,1.235001,0.011944,0.9999,26,20,0,1.0
2024-03,2024-03-29,2024-04-30,(after 2024-03-29] → 2024-04-30,0.05554091209172496,0.003258333779362364,0.052124016904357084,1.0861112597874547,0.968542,0.009216,1.0,29,19,0,0.9999999999999999
