sell_mode,cell,configuration,mois,date_rebalance,n_titres,poids_moyen,poids_max,n_BUY,n_NEUTRAL,n_SELL,w_BUY,w_NEUTRAL,w_SELL,liquidity_obj,cvar_obj,expected_alpha_raw
exclude,1,C1 Ridge,2024-07,2024-07-31,44,0.022726897879589886,0.3366002150521196,31,13,0,0.8345085826556451,0.16547492404630998,0.0,0.3148,0.00896,0.468886
exclude,1,C1 Ridge,2024-08,2024-08-30,45,0.022220452462726716,0.13250198753209524,34,11,0,0.9419976321979665,0.057922728624735645,0.0,0.296,0.011474,0.356492
exclude,1,C1 Ridge,2024-09,2024-09-30,43,0.023253029686659165,0.13146987987605235,29,14,0,0.8175587168312017,0.18232155969514247,0.0,0.2647,0.011365,0.495094
exclude,1,C1 Ridge,2024-10,2024-10-31,39,0.02563630128668403,0.13539635420363516,28,11,0,0.764557698413731,0.23525805176694597,0.0,0.2859,0.010656,0.429311
exclude,1,C1 Ridge,2024-11,2024-11-29,40,0.024994245550782907,0.13914980734906682,29,11,0,0.8410980560257362,0.1586717660055799,0.0,0.2322,0.009128,0.439844
exclude,1,C1 Ridge,2024-12,2024-12-31,41,0.02438553339795697,0.1082370245934369,32,9,0,0.9064796833678881,0.0933271859483476,0.0,0.2481,0.009014,0.454891
exclude,1,C1 Ridge,2025-01,2025-01-31,42,0.023809523809523808,0.09739741957376265,30,12,0,0.7643561304966081,0.23564386950339175,0.0,0.2899,0.008955,0.321985
exclude,1,C1 Ridge,2025-02,2025-02-28,38,0.02631351566436361,0.1606902033477884,23,15,0,0.6104279909877507,0.3894856042580665,0.0,0.3359,0.008224,0.292211
exclude,1,C1 Ridge,2025-03,2025-03-28,39,0.025638656249786503,0.09871975787738461,28,11,0,0.8797422693713894,0.12016532437028409,0.0,0.2276,0.008585,0.444908
exclude,1,C1 Ridge,2025-04,2025-04-30,35,0.02856252374440092,0.15599027224472428,26,9,0,0.8979540880163006,0.10173424303773175,0.0,0.1493,0.010198,0.363637
exclude,1,C1 Ridge,2025-05,2025-05-30,37,0.027019506689094485,0.09247132563793017,25,12,0,0.8491615714830938,0.15056017601340238,0.0,0.2333,0.011495,0.298669
exclude,1,C1 Ridge,2025-06,2025-06-30,34,0.029403023437874754,0.19106522417225075,21,13,0,0.5319151532680215,0.4677876436197201,0.0,0.3793,0.011228,0.348663
exclude,2,C2 Ridge + régime,2018-07,2018-07-31,32,0.031248004456630677,0.08861500925120527,16,16,0,0.58118254881326,0.41875359379892163,0.0,0.0,0.007725,0.116067
exclude,2,C2 Ridge + régime,2018-08,2018-08-31,32,0.031246373292608466,0.34199200063361496,10,22,0,0.37502139968911363,0.6248625456743572,0.0,0.0,0.006347,0.131244
