mois,portfolio,dominated_among_4_archived,alpha_opt,cvar,L,n_titres,turnover,alpha_raw,n_pareto_reported,selection_rule,note
2024-04,P_equilibre,False,0.790461,0.009195,0.974,35,0.3656,0.820155,30,knee,Only 4 archived profiles; full Pareto front not persisted in artefacts
2024-04,P_defensif,False,0.460256,0.006383,0.8987,29,0.3586,0.492087,30,knee,Only 4 archived profiles; full Pareto front not persisted in artefacts
2024-04,P_selected,False,0.790461,0.009195,0.974,35,0.3656,0.820155,30,knee,Only 4 archived profiles; full Pareto front not persisted in artefacts
2024-05,P_agressif,False,1.145543,0.01466,0.9566,32,0.4988,1.148736,23,knee,Only 4 archived profiles; full Pareto front not persisted in artefacts
2024-05,P_equilibre,False,0.935821,0.010944,0.9805,31,0.3059,0.938523,23,knee,Only 4 archived profiles; full Pareto front not persisted in artefacts
2024-05,P_defensif,False,0.43547,0.007583,0.9637,32,0.4035,0.446383,23,knee,Only 4 archived profiles; full Pareto front not persisted in artefacts
2024-05,P_selected,False,0.935821,0.010944,0.9805,31,0.3059,0.938523,23,knee,Only 4 archived profiles; full Pareto front not persisted in artefacts
2024-06,P_agressif,False,1.213293,0.014263,0.9205,33,0.4707,1.217589,25,knee,Only 4 archived profiles; full Pareto front not persisted in artefacts
2024-06,P_equilibre,False,0.953652,0.010292,0.912,33,0.3239,0.954601,25,knee,Only 4 archived profiles; full Pareto front not persisted in artefacts
2024-06,P_defensif,False,0.555437,0.006001,0.708,22,0.4014,0.545175,25,knee,Only 4 archived profiles; full Pareto front not persisted in artefacts
2024-06,P_selected,False,0.953652,0.010292,0.912,33,0.3239,0.954601,25,knee,Only 4 archived profiles; full Pareto front not persisted in artefacts
2024-07,P_agressif,False,1.336426,0.014002,0.9909,34,0.4969,1.330823,24,knee,Only 4 archived profiles; full Pareto front not persisted in artefacts
2024-07,P_equilibre,False,1.024831,0.009589,0.9931,33,0.2924,1.024716,24,knee,Only 4 archived profiles; full Pareto front not persisted in artefacts
2024-07,P_defensif,False,0.630213,0.008034,0.8868,34,0.3716,0.617913,24,knee,Only 4 archived profiles; full Pareto front not persisted in artefacts
2024-07,P_selected,False,1.024831,0.009589,0.9931,33,0.2924,1.024716,24,knee,Only 4 archived profiles; full Pareto front not persisted in artefacts
2024-08,P_agressif,False,1.362401,0.013986,0.9258,31,0.5095,1.362407,29,knee,Only 4 archived profiles; full Pareto front not persisted in artefacts
2024-08,P_equilibre,False,0.958915,0.011237,0.976,33,0.5254,0.956982,29,knee,Only 4 archived profiles; full Pareto front not persisted in artefacts
2024-08,P_defensif,False,0.506693,0.007805,0.8375,26,0.3878,0.500585,29,knee,Only 4 archived profiles; full Pareto front not persisted in artefacts
2024-08,P_selected,False,0.958915,0.011237,0.976,33,0.5254,0.956982,29,knee,Only 4 archived profiles; full Pareto front not persisted in artefacts
2024-09,P_agressif,False,1.323582,0.011068,0.7435,35,0.4479,1.324864,29,knee,Only 4 archived profiles; full Pareto front not persisted in artefacts
2024-09,P_equilibre,False,0.977969,0.008911,0.8409,32,0.4297,0.986604,29,knee,Only 4 archived profiles; full Pareto front not persisted in artefacts
2024-09,P_defensif,False,0.785294,0.007656,0.7411,26,0.534,0.791566,29,knee,Only 4 archived profiles; full Pareto front not persisted in artefacts
2024-09,P_selected,False,0.977969,0.008911,0.8409,32,0.4297,0.986604,29,knee,Only 4 archived profiles; full Pareto front not persisted in artefacts
2024-10,P_agressif,False,1.156807,0.012626,0.7645,27,0.3527,1.157255,26,knee,Only 4 archived profiles; full Pareto front not persisted in artefacts
2024-10,P_equilibre,False,0.916258,0.010239,0.8066,28,0.4128,0.932297,26,knee,Only 4 archived profiles; full Pareto front not persisted in artefacts
2024-10,P_defensif,False,0.58491,0.008113,0.6527,21,0.4759,0.599742,26,knee,Only 4 archived profiles; full Pareto front not persisted in artefacts
2024-10,P_selected,False,0.916258,0.010239,0.8066,28,0.4128,0.932297,26,knee,Only 4 archived profiles; full Pareto front not persisted in artefacts
2024-11,P_agressif,False,1.188686,0.01149,0.9753,33,0.3422,1.1887,22,knee,Only 4 archived profiles; full Pareto front not persisted in artefacts
2024-11,P_equilibre,False,0.992145,0.009475,0.9292,32,0.3661,0.993498,22,knee,Only 4 archived profiles; full Pareto front not persisted in artefacts
2024-11,P_defensif,False,0.752668,0.008405,0.8294,32,0.3724,0.742056,22,knee,Only 4 archived profiles; full Pareto front not persisted in artefacts
2024-11,P_selected,False,0.992145,0.009475,0.9292,32,0.3661,0.993498,22,knee,Only 4 archived profiles; full Pareto front not persisted in artefacts
2024-12,P_agressif,False,1.237816,0.011214,0.8513,35,0.4713,1.237466,26,knee,Only 4 archived profiles; full Pareto front not persisted in artefacts
2024-12,P_equilibre,False,1.02693,0.009005,0.8696,32,0.4714,1.025857,26,knee,Only 4 archived profiles; full Pareto front not persisted in artefacts
2024-12,P_defensif,False,0.703695,0.007091,0.7234,30,0.3813,0.704406,26,knee,Only 4 archived profiles; full Pareto front not persisted in artefacts
2024-12,P_selected,False,1.02693,0.009005,0.8696,32,0.4714,1.025857,26,knee,Only 4 archived profiles; full Pareto front not persisted in artefacts
2025-01,P_agressif,False,0.732694,0.010025,0.9761,40,0.5271,0.725519,18,knee,Only 4 archived profiles; full Pareto front not persisted in artefacts
2025-01,P_equilibre,False,0.635285,0.008868,0.9753,39,0.4912,0.630918,18,knee,Only 4 archived profiles; full Pareto front not persisted in artefacts
2025-01,P_defensif,False,0.446737,0.007621,0.8429,35,0.4893,0.440563,18,knee,Only 4 archived profiles; full Pareto front not persisted in artefacts
2025-01,P_selected,False,0.635285,0.008868,0.9753,39,0.4912,0.630918,18,knee,Only 4 archived profiles; full Pareto front not persisted in artefacts
2025-02,P_agressif,False,0.738419,0.009797,0.9562,35,0.4089,0.738645,22,knee,Only 4 archived profiles; full Pareto front not persisted in artefacts
2025-02,P_equilibre,False,0.600884,0.009091,0.9689,35,0.3662,0.599059,22,knee,Only 4 archived profiles; full Pareto front not persisted in artefacts
2025-02,P_defensif,False,0.417881,0.008003,0.9017,30,0.4068,0.413499,22,knee,Only 4 archived profiles; full Pareto front not persisted in artefacts
2025-02,P_selected,False,0.600884,0.009091,0.9689,35,0.3662,0.599059,22,knee,Only 4 archived profiles; full Pareto front not persisted in artefacts
2025-03,P_agressif,False,0.818186,0.009633,0.9525,41,0.5843,0.818631,22,knee,Only 4 archived profiles; full Pareto front not persisted in artefacts
2025-03,P_equilibre,False,0.635072,0.008081,0.9825,37,0.5364,0.623188,22,knee,Only 4 archived profiles; full Pareto front not persisted in artefacts
2025-03,P_defensif,False,0.364559,0.006475,0.9331,30,0.5681,0.353919,22,knee,Only 4 archived profiles; full Pareto front not persisted in artefacts
2025-03,P_selected,False,0.635072,0.008081,0.9825,37,0.5364,0.623188,22,knee,Only 4 archived profiles; full Pareto front not persisted in artefacts
2025-04,P_agressif,False,0.781794,0.013074,0.9073,38,0.5654,0.776693,22,knee,Only 4 archived profiles; full Pareto front not persisted in artefacts
2025-04,P_equilibre,False,0.57903,0.011199,0.9421,39,0.4419,0.593494,22,knee,Only 4 archived profiles; full Pareto front not persisted in artefacts
2025-04,P_defensif,False,0.277136,0.009405,0.8381,26,0.4348,0.285146,22,knee,Only 4 archived profiles; full Pareto front not persisted in artefacts
2025-04,P_selected,False,0.57903,0.011199,0.9421,39,0.4419,0.593494,22,knee,Only 4 archived profiles; full Pareto front not persisted in artefacts
2025-05,P_agressif,False,0.719605,0.013096,0.9371,34,0.3975,0.726983,22,knee,Only 4 archived profiles; full Pareto front not persisted in artefacts
2025-05,P_equilibre,False,0.516855,0.01103,0.8775,35,0.3326,0.52175,22,knee,Only 4 archived profiles; full Pareto front not persisted in artefacts
2025-05,P_defensif,False,0.303676,0.009001,0.6948,28,0.4548,0.311871,22,knee,Only 4 archived profiles; full Pareto front not persisted in artefacts
2025-05,P_selected,False,0.516855,0.01103,0.8775,35,0.3326,0.52175,22,knee,Only 4 archived profiles; full Pareto front not persisted in artefacts
2025-06,P_agressif,False,0.95858,0.013523,0.9834,38,0.5098,0.959679,27,knee,Only 4 archived profiles; full Pareto front not persisted in artefacts
2025-06,P_equilibre,False,0.673172,0.010841,0.9846,36,0.3453,0.658552,27,knee,Only 4 archived profiles; full Pareto front not persisted in artefacts
2025-06,P_defensif,False,0.421287,0.009244,0.905,24,0.4236,0.400732,27,knee,Only 4 archived profiles; full Pareto front not persisted in artefacts
2025-06,P_selected,False,0.673172,0.010841,0.9846,36,0.3453,0.658552,27,knee,Only 4 archived profiles; full Pareto front not persisted in artefacts
