fold_id,cell_id,test_start_month,test_end_month,rank_ic,hit_ratio,sharpe_ls
21,2,2020-04,2020-09,-0.1227086838522216,0.4335166612746683,-3.341163429880198
22,2,2020-05,2020-10,-0.1018581868895219,0.4327361563517915,-1.8644530505091448
23,2,2020-06,2020-11,-0.096829225258744,0.4481535236252217,-1.020809510709195
24,2,2020-07,2020-12,-0.0627652706211133,0.4624861791186226,-0.0489222080348725
25,2,2020-08,2021-01,-0.0247323558795302,0.4976691850184858,0.1507164055026293
26,2,2020-09,2021-02,-0.0285484238837085,0.5260291526509691,-0.4149231361764461
27,2,2020-10,2021-03,0.0035822510530862,0.5354593050928129,2.3101313517298085
28,2,2020-11,2021-04,0.0531096626493105,0.5333749220212103,2.554639804475185
29,2,2020-12,2021-05,0.0519372690660134,0.5260061919504644,3.5117418056949243
30,2,2021-01,2021-06,0.0664672494125998,0.506826200337475,3.4389039009605
31,2,2021-02,2021-07,0.0916742117842118,0.508372303514859,3.823901871874229
32,2,2021-03,2021-08,0.0770341205983706,0.5030419943611811,3.7286124335346296
33,2,2021-04,2021-09,0.0841414523361271,0.5033823529411765,2.857455879595427
34,2,2021-05,2021-10,0.0521088604611068,0.4954511558538404,0.7459292809695254
35,2,2021-06,2021-11,0.0026465049040021,0.4897781644193127,-2.6697657264873724
36,2,2021-07,2021-12,-0.1117160267694833,0.4613829940811318,-2.8011999525805966
37,2,2021-08,2022-01,-0.1987824599024365,0.4369421249640081,-4.569776072491768
38,2,2021-09,2022-02,-0.2385708460023372,0.4195394078100415,-7.264841987211994
39,2,2021-10,2022-03,-0.2410724314183708,0.4252012996185902,-5.447080369389325
40,2,2021-11,2022-04,-0.2054690307957926,0.4374222099294703,-5.204455867475059
41,2,2021-12,2022-05,-0.2160873414505182,0.4358474812134706,-3.786909318739247
42,2,2022-01,2022-06,-0.1359375940048917,0.4565369052602204,-2.575080075607947
43,2,2022-02,2022-07,-0.1001514496700922,0.46401915223208,-2.260023272585529
44,2,2022-03,2022-08,-0.0330581554347542,0.5115506985751833,-0.7696296688418606
45,2,2022-04,2022-09,-0.0150161620085901,0.5301306363253266,-0.8350968301903364
46,2,2022-05,2022-10,-0.0400239553891288,0.4995046001415428,-0.7601312228780397
47,2,2022-06,2022-11,-0.0085200617359345,0.5163830684854451,-1.5618227076290565
48,2,2022-07,2022-12,-0.0163707634828486,0.5313241244593274,-2.80936495588334
49,2,2022-08,2023-01,-0.0026467230197931,0.5344200458035835,-1.140087770776532
50,2,2022-09,2023-02,-0.017319027930937,0.5145525923920401,-3.645798241420398
51,2,2022-10,2023-03,-0.0456134759365654,0.4880420499342969,-2.280957734508017
52,2,2022-11,2023-04,-0.0377608129105234,0.4885155532222076,-2.3906169990128627
53,2,2022-12,2023-05,0.002799868692084,0.482688130829181,-1.343543128429594
54,2,2023-01,2023-06,-0.0356126262668042,0.4359368988072336,-0.6842464399030247
55,2,2023-02,2023-07,0.0499682286185507,0.4474493719559087,1.0744546293767978
56,2,2023-03,2023-08,0.0452857621447155,0.4515151515151515,1.647126597285002
57,2,2023-04,2023-09,0.1647375254905366,0.483453981385729,3.632400039382195
58,2,2023-05,2023-10,0.207400396994145,0.5237379431291495,2.982430702509808
59,2,2023-06,2023-11,0.2154890556174491,0.5431910569105691,3.440310459144466
60,2,2023-07,2023-12,0.2149683761470775,0.5543969849246231,3.421733527187228
61,2,2023-08,2024-01,0.2225446509506714,0.5745422842197035,3.554485799515091
62,2,2023-09,2024-02,0.2465442737546536,0.5722442899702085,4.452099923064024
63,2,2023-10,2024-03,0.2523713166272519,0.5620811502376021,4.770036608766269
64,2,2023-11,2024-04,0.2493756473476599,0.5669320726548893,10.196425547607214
65,2,2023-12,2024-05,0.2242747410017949,0.5699902959728287,7.231071070674969
66,2,2024-01,2024-06,0.2056728960368914,0.5776897362882258,6.806209855575017
67,2,2024-02,2024-07,0.1972872413876427,0.5744106090373281,5.251846753662471
68,2,2024-03,2024-08,0.1644245540058563,0.5716781035558328,4.171634195063085
69,2,2024-04,2024-09,0.0808374467615521,0.5181438867113415,3.995143573127381
70,2,2024-05,2024-10,0.0856795123076067,0.5078591446326307,5.098551061054701
71,2,2024-06,2024-11,0.0807095745534443,0.4891331817033106,7.62338966712746
72,2,2024-07,2024-12,0.066723314664126,0.4817599211239832,2.009519341928341
73,2,2024-08,2025-01,0.0104566733176117,0.4607770353872804,1.2389482338868685
74,2,2024-09,2025-02,-0.0284033025997561,0.4626008310926424,0.7894715178432041
75,2,2024-10,2025-03,-0.0303769501125725,0.481369465279458,0.1327330392911791
76,2,2024-11,2025-04,0.0406786601984249,0.5294477028347996,1.2301259930772783
77,2,2024-12,2025-05,0.053246114543182,0.528176533396607,6.614529645172832
78,2,2025-01,2025-06,0.0462931876357394,0.514776549735704,1.1978114853828488
79,2,2025-02,2025-07,0.0623239912259306,0.514278914802475,0.4677014653298196
80,2,2025-03,2025-08,0.0818424914746677,0.5436741088915001,-0.9687383527815568
0,3,2018-07,2018-12,0.1403927904316404,0.541610054347826,1.546293156507518
1,3,2018-08,2019-01,0.1849307537516961,0.560613810741688,2.1372052617843584
2,3,2018-09,2019-02,0.129268667228887,0.547972972972973,1.526880304072122
3,3,2018-10,2019-03,0.0830549892705257,0.5389892904953146,0.3284640839178044
4,3,2018-11,2019-04,0.0731323105604328,0.5466509195208369,0.3421841817361786
5,3,2018-12,2019-05,0.047586121687857,0.5458429181728557,0.2114189814335681
6,3,2019-01,2019-06,-0.0411190200865852,0.5142421159715158,-0.4836457261914577
7,3,2019-02,2019-07,-0.0224205472836566,0.5289976533690915,-0.8228989060944956
8,3,2019-03,2019-08,0.0220743516204205,0.5383296175613103,0.0217891679754419
9,3,2019-04,2019-09,0.0929733301370671,0.5570642832588518,0.739160718123753
10,3,2019-05,2019-10,0.1017113888779478,0.5467625899280576,0.8245019014428213
11,3,2019-06,2019-11,0.065527604489717,0.5243818681318682,1.122219112599438
12,3,2019-07,2019-12,0.0952668599577709,0.5295566502463054,1.639842131748095
13,3,2019-08,2020-01,0.0573980199847351,0.4927418039471538,1.4579253487676744
14,3,2019-09,2020-02,0.0406352208397552,0.4923882017126546,1.0336967141962785
15,3,2019-10,2020-03,0.0073903819190225,0.4682153508083503,0.8268220507797769
16,3,2019-11,2020-04,-0.0070091521102767,0.4880780924947991,0.3965366726805343
17,3,2019-12,2020-05,0.0285399818841227,0.5134007382442626,0.4454841232305282
18,3,2020-01,2020-06,-0.0302449872613939,0.4902435091114336,-0.31594190085272
19,3,2020-02,2020-07,-0.0823547250398321,0.4838657369871899,-2.1976167553682657
20,3,2020-03,2020-08,-0.1621042610670712,0.4577980159375508,-4.225266854777384
21,3,2020-04,2020-09,-0.1850983052687841,0.4516337754771918,-5.709408971460685
22,3,2020-05,2020-10,-0.1160298292390834,0.4846905537459283,-3.987296978680314
23,3,2020-06,2020-11,-0.0269249394519119,0.5178197064989518,-0.4730215102358583
24,3,2020-07,2020-12,-0.0193105083162791,0.5152424577475913,-1.027668455187398
25,3,2020-08,2021-01,0.0221806521876698,0.5330332743931844,-1.4777681453144016
26,3,2020-09,2021-02,-0.0203517444059339,0.5122537241710716,-1.708914647625423
27,3,2020-10,2021-03,-0.0251533244066012,0.4888148500713946,-0.6093940162363948
28,3,2020-11,2021-04,0.0684145384611962,0.5297878976918278,1.0847653057534103
29,3,2020-12,2021-05,0.0779512078841805,0.5281733746130031,2.4265525652086493
30,3,2021-01,2021-06,0.0802924858706669,0.54348826507133,2.5065810810833167
31,3,2021-02,2021-07,0.0882452522274113,0.5346206064263086,4.632777015702081
32,3,2021-03,2021-08,0.0974355249167485,0.5132809022110105,3.446364921447608
33,3,2021-04,2021-09,0.1128378957829256,0.5239705882352941,3.508655303780456
34,3,2021-05,2021-10,0.0720831157564632,0.5202087994034302,1.202980321113318
35,3,2021-06,2021-11,0.0374372711302373,0.502972306800058,-0.1105470115752218
36,3,2021-07,2021-12,-0.0797868290990083,0.4683124007506857,-1.0538782221557317
37,3,2021-08,2022-01,-0.1759838148756913,0.4451482867837604,-4.935221839398754
38,3,2021-09,2022-02,-0.2307394964637242,0.4401373194106708,-7.648187644124997
39,3,2021-10,2022-03,-0.2344067477670098,0.4462494702641616,-8.142942928146109
40,3,2021-11,2022-04,-0.2204134007980211,0.4569215876089061,-8.748536410073886
41,3,2021-12,2022-05,-0.2276646530675378,0.4453103256331756,-5.302066813578451
42,3,2022-01,2022-06,-0.1179977699102737,0.4820706013673783,-5.3834780347909446
43,3,2022-02,2022-07,-0.0994889407785034,0.4841571609632446,-5.886191073510155
44,3,2022-03,2022-08,-0.0172831108902376,0.5198506017429797,-0.8657171428271319
45,3,2022-04,2022-09,-0.0144055928928141,0.5304115746593623,-0.8457504396055873
46,3,2022-05,2022-10,-0.0574569391897008,0.4829440905874027,-0.6905344318665283
47,3,2022-06,2022-11,-0.0689474854188659,0.4746167908873576,-2.5277476282629343
48,3,2022-07,2022-12,-0.0330223190516678,0.4816520161852937,-0.7313295814817691
49,3,2022-08,2023-01,0.0005668433677256,0.4934662535363061,0.5337891097619275
50,3,2022-09,2023-02,-0.019302706541089,0.4889671043725463,-0.0129301350383219
51,3,2022-10,2023-03,-0.0073994268497073,0.4914586070959264,1.2185205877487408
52,3,2022-11,2023-04,-0.049703555264756,0.4879905499409371,-4.079430617610986
53,3,2022-12,2023-05,-0.0024386787094573,0.5115625399258975,-6.009051809676763
54,3,2023-01,2023-06,-0.0096354024428012,0.5101962293189688,-1.9172306389843967
55,3,2023-02,2023-07,0.0988738769756957,0.5137144321968726,2.856999996781219
56,3,2023-03,2023-08,0.0876323727665392,0.493560606060606,3.481402706744117
57,3,2023-04,2023-09,0.1513729070858112,0.5018097207859359,2.529186589612932
58,3,2023-05,2023-10,0.1846981818002396,0.5318802455217336,1.6029297865365908
59,3,2023-06,2023-11,0.2205912561473751,0.5588160569105691,2.0638226758257607
60,3,2023-07,2023-12,0.2558451664556256,0.5816582914572864,3.4071754591188026
61,3,2023-08,2024-01,0.2663021840504421,0.5874953294308133,3.99984019191328
62,3,2023-09,2024-02,0.2562650624287206,0.579940417080437,4.133148518417449
