fold_id,cell_id,cell_name,model,regime,test_start_month,test_end_month,n_train,n_test,rank_ic,ic_pearson,hit_ratio,rf_n_estimators,rf_max_depth,rf_min_samples_leaf
25,2,ridge_adapt,ridge,True,2020-08,2021-01,36422,6221,-0.02480002628235367,-0.07166608393707215,0.4973476932968976,100,4,20
25,3,hybrid_static,hybrid,False,2020-08,2021-01,36422,6221,0.02223063589268689,0.0037787980339135715,0.5330332743931844,100,4,20
25,4,hybrid_adapt,hybrid,True,2020-08,2021-01,36422,6221,0.023474383082491695,0.006003865033750538,0.5341584954187429,100,4,20
26,1,ridge_static,ridge,False,2020-09,2021-02,36354,6243,-0.030940762013673004,-0.0897716383494358,0.5055261893320518,100,4,20
26,2,ridge_adapt,ridge,True,2020-09,2021-02,36354,6243,-0.02864948145749274,-0.08696084317878272,0.5281114848630466,100,4,20
26,3,hybrid_static,hybrid,False,2020-09,2021-02,36354,6243,-0.0202101053211006,-0.05987143634594514,0.5119333653692135,100,4,20
26,4,hybrid_adapt,hybrid,True,2020-09,2021-02,36354,6243,-0.020568074121772133,-0.05788740354422238,0.5140156975812911,100,4,20
27,1,ridge_static,ridge,False,2020-10,2021-03,36547,6303,0.0006627418775152505,-0.03236234718267448,0.5140409328891005,100,4,20
27,2,ridge_adapt,ridge,True,2020-10,2021-03,36547,6303,0.0035556897794530424,-0.030364956851723336,0.5345073774393146,100,4,20
27,3,hybrid_static,hybrid,False,2020-10,2021-03,36547,6303,-0.025215968829223164,0.0021060254146041987,0.4888148500713946,100,4,20
27,4,hybrid_adapt,hybrid,True,2020-10,2021-03,36547,6303,-0.02434360282500187,0.0037078683374257102,0.4883388862446454,100,4,20
28,1,ridge_static,ridge,False,2020-11,2021-04,36503,6412,0.05195789836426396,0.09903809628702288,0.5177791640673737,100,4,20
28,2,ridge_adapt,ridge,True,2020-11,2021-04,36503,6412,0.053110441262332664,0.09996234408338173,0.531971303805365,100,4,20
28,3,hybrid_static,hybrid,False,2020-11,2021-04,36503,6412,0.06851321684467482,0.17254622317849097,0.5302557704304429,100,4,20
28,4,hybrid_adapt,hybrid,True,2020-11,2021-04,36503,6412,0.07109322067704177,0.17406844637698668,0.5308796007485964,100,4,20
29,1,ridge_static,ridge,False,2020-12,2021-05,36374,6460,0.0513334588818466,0.10514330026965951,0.5205882352941177,100,4,20
29,2,ridge_adapt,ridge,True,2020-12,2021-05,36374,6460,0.051741052653934076,0.10439413493527519,0.5261609907120743,100,4,20
29,3,hybrid_static,hybrid,False,2020-12,2021-05,36374,6460,0.07743988292067808,0.16103088661229814,0.5287925696594428,100,4,20
29,4,hybrid_adapt,hybrid,True,2020-12,2021-05,36374,6460,0.07968859008805124,0.16156120732772558,0.5292569659442724,100,4,20
30,1,ridge_static,ridge,False,2021-01,2021-06,36537,6519,0.06919458964411968,0.12822763974121337,0.5287620800736309,100,4,20
30,2,ridge_adapt,ridge,True,2021-01,2021-06,36537,6519,0.06622257804947528,0.12348241125973121,0.5040650406504065,100,4,20
30,3,hybrid_static,hybrid,False,2021-01,2021-06,36537,6519,0.07898647763655632,0.20279732423899471,0.5422610829881884,100,4,20
30,4,hybrid_adapt,hybrid,True,2021-01,2021-06,36537,6519,0.07722863350746301,0.2001360608476874,0.5422610829881884,100,4,20
31,1,ridge_static,ridge,False,2021-02,2021-07,36524,6629,0.09907671916658681,0.1588440713821762,0.5347714587418917,100,4,20
31,2,ridge_adapt,ridge,True,2021-02,2021-07,36524,6629,0.09189115149928576,0.1502304214037141,0.5058078141499472,100,4,20
31,3,hybrid_static,hybrid,False,2021-02,2021-07,36524,6629,0.08889516396175065,0.23890383274120483,0.5347714587418917,100,4,20
31,4,hybrid_adapt,hybrid,True,2021-02,2021-07,36524,6629,0.08273544104534182,0.2356770331877663,0.5343189017951425,100,4,20
32,1,ridge_static,ridge,False,2021-03,2021-08,36548,6739,0.08734817338514876,0.15875503225973694,0.5232230301231636,100,4,20
32,2,ridge_adapt,ridge,True,2021-03,2021-08,36548,6739,0.0778065895569124,0.14923778011399425,0.5046742840184003,100,4,20
32,3,hybrid_static,hybrid,False,2021-03,2021-08,36548,6739,0.0977695205522985,0.2948075008013296,0.5135776821486867,100,4,20
32,4,hybrid_adapt,hybrid,True,2021-03,2021-08,36548,6739,0.09257643648962953,0.2855453497534658,0.5137260721175249,100,4,20
33,1,ridge_static,ridge,False,2021-04,2021-09,36665,6800,0.0898957230194194,0.14745864545996584,0.5267647058823529,100,4,20
33,2,ridge_adapt,ridge,True,2021-04,2021-09,36665,6800,0.08476575692465348,0.14234791796760574,0.5045588235294117,100,4,20
33,3,hybrid_static,hybrid,False,2021-04,2021-09,36665,6800,0.11293138325628553,0.2611061976327213,0.5241176470588236,100,4,20
33,4,hybrid_adapt,hybrid,True,2021-04,2021-09,36665,6800,0.11161182611461276,0.2627683784774558,0.5223529411764706,100,4,20
34,1,ridge_static,ridge,False,2021-05,2021-10,36787,6705,0.054923460152732265,0.1038698649052971,0.5117076808351976,100,4,20
34,2,ridge_adapt,ridge,True,2021-05,2021-10,36787,6705,0.05235633826527696,0.10115228736436632,0.4950037285607755,100,4,20
34,3,hybrid_static,hybrid,False,2021-05,2021-10,36787,6705,0.07176075680394728,0.14488551304991443,0.5196122296793437,100,4,20
34,4,hybrid_adapt,hybrid,True,2021-05,2021-10,36787,6705,0.0718457204704791,0.14107328619034804,0.5225950782997763,100,4,20
