period,quarter,portfolio,ticker,weight,weight_pct,rebalance_date
2025-06,2025-Q2,P_equilibre,WAA,0.02,2.0,2025-06-30
2025-06,2025-Q2,P_equilibre,CTM,0.02,2.0,2025-06-30
2025-06,2025-Q2,P_equilibre,RDS,0.02,2.0,2025-06-30
2025-06,2025-Q2,P_equilibre,DHO,0.02,2.0,2025-06-30
2025-06,2025-Q2,P_equilibre,SID,0.02,2.0,2025-06-30
2025-06,2025-Q2,P_equilibre,SOT,0.02,2.0,2025-06-30
2025-06,2025-Q2,P_equilibre,SMI,0.02,2.0,2025-06-30
2025-06,2025-Q2,P_defensif,MNG,0.148,14.8,2025-06-30
2025-06,2025-Q2,P_defensif,DRI,0.1233,12.33,2025-06-30
2025-06,2025-Q2,P_defensif,DWY,0.114,11.4,2025-06-30
2025-06,2025-Q2,P_defensif,MIC,0.1028,10.28,2025-06-30
2025-06,2025-Q2,P_defensif,MSA,0.0626,6.26,2025-06-30
2025-06,2025-Q2,P_defensif,EQD,0.06,6.0,2025-06-30
2025-06,2025-Q2,P_defensif,JET,0.0462,4.62,2025-06-30
2025-06,2025-Q2,P_defensif,CSR,0.0453,4.53,2025-06-30
2025-06,2025-Q2,P_defensif,LBV,0.0292,2.92,2025-06-30
2025-06,2025-Q2,P_defensif,MUT,0.0287,2.87,2025-06-30
2025-06,2025-Q2,P_defensif,SID,0.02,2.0,2025-06-30
2025-06,2025-Q2,P_defensif,RDS,0.02,2.0,2025-06-30
2025-06,2025-Q2,P_defensif,TQM,0.02,2.0,2025-06-30
2025-06,2025-Q2,P_defensif,SMI,0.02,2.0,2025-06-30
2025-06,2025-Q2,P_defensif,HPS,0.02,2.0,2025-06-30
2025-06,2025-Q2,P_defensif,STR,0.02,2.0,2025-06-30
2025-06,2025-Q2,P_defensif,GAZ,0.02,2.0,2025-06-30
2025-06,2025-Q2,P_defensif,DHO,0.02,2.0,2025-06-30
2025-06,2025-Q2,P_defensif,CTM,0.02,2.0,2025-06-30
2025-06,2025-Q2,P_defensif,SNP,0.02,2.0,2025-06-30
2025-06,2025-Q2,P_defensif,WAA,0.02,2.0,2025-06-30
2025-06,2025-Q2,P_defensif,SOT,0.02,2.0,2025-06-30
