month,decision_date,net_return,gross_return,turnover,transaction_cost,n_positions,liquidity_L,n_days,portfolio_alpha,portfolio_cvar,portfolio_liquidity,date_rebalance,regime_market,wealth100_net,cell,selection_method
2023-01,2023-01-31,0.0481888190979851,0.0523644065185309,1.3320912994604237,0.0039962738983812,45,0.566099573043996,19,0.184399,0.011214,0.5661,2023-01-31,bear,104.63507689435745,C2,knee_utopia_distance
2023-02,2023-02-28,-0.0299460424836361,-0.0265796034220695,1.1478378241145997,0.0034435134723437,53,0.4588204734697294,22,0.234771,0.011225,0.4588,2023-02-28,neutral,101.50167043640049,C2,knee_utopia_distance
2023-03,2023-03-31,-0.0011354836335182,0.0018839337115357,1.0063586115956205,0.0030190758347868,53,0.6737548698448982,18,0.227168,0.009492,0.6737,2023-03-31,neutral,101.38641695084519,C2,knee_utopia_distance
2023-04,2023-04-28,0.032493664820433,0.0348655676319573,0.7640348265229847,0.0022921044795689,57,0.6446469002558511,21,0.247519,0.009314,0.6446,2023-04-28,neutral,104.68083320059061,C2,knee_utopia_distance
2023-05,2023-05-31,0.0214650152555526,0.0246757860488953,1.0533126796366243,0.0031599380389098,51,0.5457768638135363,19,0.335464,0.00781,0.5457,2023-05-31,neutral,106.92780888220526,C2,knee_utopia_distance
2023-06,2023-06-28,0.0377469817468298,0.0394301126296952,0.5432890924324877,0.0016298672772974,51,0.6095965751365913,20,0.366292,0.007728,0.6096,2023-06-28,bull,110.96401093231036,C2,knee_utopia_distance
2023-07,2023-07-31,0.0009833035734672,0.0041588103692105,1.0559366947027615,0.0031678100841082,51,0.7970782712385424,20,0.398212,0.01163,0.7971,2023-07-31,bull,111.07312224078636,C2,knee_utopia_distance
2023-08,2023-08-31,0.0426208100065632,0.0453879651941102,0.8851952850647454,0.0026555858551942,40,0.8285834449651147,18,0.380412,0.012796,0.8286,2023-08-31,neutral,115.8071486806467,C2,knee_utopia_distance
2023-09,2023-09-27,0.0306724688574755,0.0340173061859578,1.0778662636607708,0.0032335987909823,49,0.7692728969329036,22,0.233617,0.011766,0.7693,2023-09-27,neutral,119.35923984202688,C2,knee_utopia_distance
2023-10,2023-10-31,-0.0159963641714905,-0.0129588373345905,1.0226094285744527,0.0030678282857233,46,0.7893427577197992,20,0.259116,0.012998,0.7893,2023-10-31,neutral,117.44992597428154,C2,knee_utopia_distance
2023-11,2023-11-30,0.0004019790108735,0.0043035345747768,1.2952043451876776,0.003885613035563,35,0.8793949248912307,20,0.284304,0.012793,0.8794,2023-11-30,neutral,117.49713837935185,C2,knee_utopia_distance
